Backtest run #45: 2025-03-25 to 2025-09-28 (moneyline thin-sample dampening (THIN_SAMPLE_STARTS_THRESHOLD=5, extra shrink 0.7) - comparacion vs run 44)
Calentando la libreta de bateo: 2025-03-20 a 2025-03-24 (5 días)...
  Calentando 1/5 (2025-03-20)...  Calentando 2/5 (2025-03-21)...  Calentando 3/5 (2025-03-22)...  Calentando 4/5 (2025-03-23)...  Calentando 5/5 (2025-03-24)...
Libreta lista: 0 bateadores con datos.
  2025-03-25: 0 juegos, 0 predicciones guardadas
  2025-03-26: 0 juegos, 0 predicciones guardadas
  2025-03-27: 14 juegos, 42 predicciones guardadas
  2025-03-28: 9 juegos, 27 predicciones guardadas
  2025-03-29: 15 juegos, 45 predicciones guardadas
  2025-03-30: 13 juegos, 39 predicciones guardadas
  2025-03-31: 14 juegos, 42 predicciones guardadas
  2025-04-01: 13 juegos, 39 predicciones guardadas
  2025-04-02: 15 juegos, 45 predicciones guardadas
  2025-04-03: 5 juegos, 15 predicciones guardadas
  2025-04-04: 14 juegos, 42 predicciones guardadas
  2025-04-05: 14 juegos, 42 predicciones guardadas
  2025-04-06: 15 juegos, 45 predicciones guardadas
  2025-04-07: 11 juegos, 33 predicciones guardadas
  2025-04-08: 15 juegos, 45 predicciones guardadas
  2025-04-09: 15 juegos, 45 predicciones guardadas
  2025-04-10: 6 juegos, 18 predicciones guardadas
  2025-04-11: 13 juegos, 39 predicciones guardadas
  2025-04-12: 15 juegos, 45 predicciones guardadas
  2025-04-13: 15 juegos, 45 predicciones guardadas
  2025-04-14: 10 juegos, 30 predicciones guardadas
  2025-04-15: 15 juegos, 45 predicciones guardadas
  2025-04-16: 15 juegos, 45 predicciones guardadas
  2025-04-17: 10 juegos, 30 predicciones guardadas
  2025-04-18: 14 juegos, 42 predicciones guardadas
  2025-04-19: 15 juegos, 45 predicciones guardadas
  2025-04-20: 16 juegos, 48 predicciones guardadas
  2025-04-21: 8 juegos, 24 predicciones guardadas
  2025-04-22: 15 juegos, 45 predicciones guardadas
  2025-04-23: 14 juegos, 42 predicciones guardadas
  2025-04-24: 8 juegos, 24 predicciones guardadas
  2025-04-25: 13 juegos, 39 predicciones guardadas
  2025-04-26: 16 juegos, 48 predicciones guardadas
  2025-04-27: 16 juegos, 48 predicciones guardadas
  2025-04-28: 8 juegos, 24 predicciones guardadas
  2025-04-29: 14 juegos, 42 predicciones guardadas
  2025-04-30: 16 juegos, 48 predicciones guardadas
  2025-05-01: 11 juegos, 33 predicciones guardadas
  2025-05-02: 15 juegos, 45 predicciones guardadas
  2025-05-03: 14 juegos, 42 predicciones guardadas
  2025-05-04: 15 juegos, 45 predicciones guardadas
  2025-05-05: 9 juegos, 27 predicciones guardadas
  2025-05-06: 15 juegos, 45 predicciones guardadas
  2025-05-07: 15 juegos, 45 predicciones guardadas
  2025-05-08: 9 juegos, 27 predicciones guardadas
  2025-05-09: 15 juegos, 45 predicciones guardadas
  2025-05-10: 15 juegos, 45 predicciones guardadas
  2025-05-11: 15 juegos, 45 predicciones guardadas
  2025-05-12: 11 juegos, 33 predicciones guardadas
  2025-05-13: 13 juegos, 39 predicciones guardadas
  2025-05-14: 17 juegos, 51 predicciones guardadas
  2025-05-15: 6 juegos, 18 predicciones guardadas
  2025-05-16: 15 juegos, 45 predicciones guardadas
  2025-05-17: 15 juegos, 45 predicciones guardadas
  2025-05-18: 15 juegos, 45 predicciones guardadas
  2025-05-19: 12 juegos, 36 predicciones guardadas
  2025-05-20: 14 juegos, 42 predicciones guardadas
  2025-05-21: 15 juegos, 45 predicciones guardadas
  2025-05-22: 8 juegos, 24 predicciones guardadas
  2025-05-23: 15 juegos, 45 predicciones guardadas
  2025-05-24: 16 juegos, 48 predicciones guardadas
  2025-05-25: 15 juegos, 45 predicciones guardadas
  2025-05-26: 12 juegos, 36 predicciones guardadas
  2025-05-27: 15 juegos, 45 predicciones guardadas
  2025-05-28: 14 juegos, 42 predicciones guardadas
  2025-05-29: 5 juegos, 15 predicciones guardadas
  2025-05-30: 15 juegos, 45 predicciones guardadas
  2025-05-31: 15 juegos, 45 predicciones guardadas
  2025-06-01: 15 juegos, 45 predicciones guardadas
  2025-06-02: 7 juegos, 21 predicciones guardadas
  2025-06-03: 15 juegos, 45 predicciones guardadas
  2025-06-04: 14 juegos, 42 predicciones guardadas
  2025-06-05: 13 juegos, 39 predicciones guardadas
  2025-06-06: 15 juegos, 45 predicciones guardadas
  2025-06-07: 16 juegos, 48 predicciones guardadas
  2025-06-08: 15 juegos, 45 predicciones guardadas
  2025-06-09: 9 juegos, 27 predicciones guardadas
  2025-06-10: 15 juegos, 45 predicciones guardadas
  2025-06-11: 15 juegos, 45 predicciones guardadas
  2025-06-12: 8 juegos, 24 predicciones guardadas
  2025-06-13: 15 juegos, 45 predicciones guardadas
  2025-06-14: 15 juegos, 45 predicciones guardadas
  2025-06-15: 15 juegos, 45 predicciones guardadas
  2025-06-16: 7 juegos, 21 predicciones guardadas
  2025-06-17: 15 juegos, 45 predicciones guardadas
  2025-06-18: 11 juegos, 33 predicciones guardadas
  2025-06-19: 16 juegos, 48 predicciones guardadas
  2025-06-20: 15 juegos, 45 predicciones guardadas
  2025-06-21: 15 juegos, 45 predicciones guardadas
  2025-06-22: 15 juegos, 45 predicciones guardadas
  2025-06-23: 9 juegos, 27 predicciones guardadas
  2025-06-24: 15 juegos, 45 predicciones guardadas
  2025-06-25: 15 juegos, 45 predicciones guardadas
  2025-06-26: 9 juegos, 27 predicciones guardadas
  2025-06-27: 15 juegos, 45 predicciones guardadas
  2025-06-28: 15 juegos, 45 predicciones guardadas
  2025-06-29: 15 juegos, 45 predicciones guardadas
  2025-06-30: 8 juegos, 24 predicciones guardadas
  2025-07-01: 12 juegos, 36 predicciones guardadas
  2025-07-02: 19 juegos, 57 predicciones guardadas
  2025-07-03: 10 juegos, 30 predicciones guardadas
  2025-07-04: 15 juegos, 45 predicciones guardadas
  2025-07-05: 15 juegos, 45 predicciones guardadas
  2025-07-06: 15 juegos, 45 predicciones guardadas
  2025-07-07: 10 juegos, 30 predicciones guardadas
  2025-07-08: 14 juegos, 42 predicciones guardadas
  2025-07-09: 14 juegos, 42 predicciones guardadas
  2025-07-10: 10 juegos, 30 predicciones guardadas
  2025-07-11: 16 juegos, 48 predicciones guardadas
  2025-07-12: 15 juegos, 45 predicciones guardadas
  2025-07-13: 15 juegos, 45 predicciones guardadas
  2025-07-14: 0 juegos, 0 predicciones guardadas
  2025-07-15: 0 juegos, 0 predicciones guardadas
  2025-07-16: 0 juegos, 0 predicciones guardadas
  2025-07-17: 0 juegos, 0 predicciones guardadas
  2025-07-18: 15 juegos, 45 predicciones guardadas
  2025-07-19: 15 juegos, 45 predicciones guardadas
  2025-07-20: 15 juegos, 45 predicciones guardadas
  2025-07-21: 15 juegos, 45 predicciones guardadas
  2025-07-22: 15 juegos, 45 predicciones guardadas
  2025-07-23: 15 juegos, 45 predicciones guardadas
  2025-07-24: 5 juegos, 15 predicciones guardadas
  2025-07-25: 14 juegos, 42 predicciones guardadas
  2025-07-26: 16 juegos, 48 predicciones guardadas
  2025-07-27: 15 juegos, 45 predicciones guardadas
  2025-07-28: 15 juegos, 45 predicciones guardadas
  2025-07-29: 16 juegos, 48 predicciones guardadas
  2025-07-30: 15 juegos, 45 predicciones guardadas
  2025-07-31: 3 juegos, 9 predicciones guardadas
  2025-08-01: 15 juegos, 45 predicciones guardadas
  2025-08-02: 15 juegos, 45 predicciones guardadas
  2025-08-03: 15 juegos, 45 predicciones guardadas
  2025-08-04: 13 juegos, 39 predicciones guardadas
  2025-08-05: 15 juegos, 45 predicciones guardadas
  2025-08-06: 15 juegos, 45 predicciones guardadas
  2025-08-07: 4 juegos, 12 predicciones guardadas
  2025-08-08: 15 juegos, 45 predicciones guardadas
  2025-08-09: 16 juegos, 48 predicciones guardadas
  2025-08-10: 15 juegos, 45 predicciones guardadas
  2025-08-11: 11 juegos, 33 predicciones guardadas
  2025-08-12: 15 juegos, 45 predicciones guardadas
  2025-08-13: 15 juegos, 45 predicciones guardadas
  2025-08-14: 7 juegos, 21 predicciones guardadas
  2025-08-15: 15 juegos, 45 predicciones guardadas
  2025-08-16: 15 juegos, 45 predicciones guardadas
  2025-08-17: 15 juegos, 45 predicciones guardadas
